[2026-04-01 19:31:59] [INFO    ] discord.client: logging in using static token
[2026-04-01 19:32:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'default_message_notifications': 0, 'embedded_activities': [], 'roles': [{'version': 1774884646174, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1488198810491555944', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1775015099730, 'unicode_emoji': None, 'tags': {'bot_id': '1488192451566113019'}, 'position': 2, 'permissions': '8', 'name': 'EVIL-SWASTIK', 'mentionable': False, 'managed': True, 'id': '1488509180829761568', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1775015128526, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Coder', 'mentionable': False, 'managed': False, 'id': '1488745877442138172', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10181046}, 'color': 10181046}], 'mfa_level': 0, 'application_id': None, 'moderator_reporting': None, 'profile': None, 'stickers': [], 'unavailable': False, 'discovery_splash': None, 'premium_features': None, 'afk_timeout': 300, 'member_count': 3, 'premium_progress_bar_enabled_user_updated_at': None, 'safety_alerts_channel_id': None, 'channels': [{'version': 1774884646182, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1488198811884195903', 'flags': 0}, {'version': 1774884646186, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1488198811884195904', 'flags': 0}, {'version': 1774884646210, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1488198811884195903', 'name': 'general', 'last_message_id': '1488750396196520032', 'id': '1488198811884195906', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1774884646230, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1488198811884195904', 'name': 'General', 'last_message_id': None, 'id': '1488198811884195907', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'region': 'deprecated', 'id': '1488198810491555944', 'large': False, 'presences': [], 'home_header': None, 'features': [], 'name': "-Swastik-'s server", 'members': [{'user': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4111', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'lazy': True, 'stage_instances': [], 'owner_configured_content_level': 0, 'owner_id': '1399051133053304909', 'verification_level': 0, 'voice_states': [], 'threads': [], 'explicit_content_filter': 0, 'activity_instances': [], 'emojis': [], 'hub_type': None, 'public_updates_channel_id': None, 'description': None, 'splash': None, 'incidents_data': None, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'vanity_url_code': None, 'preferred_locale': 'en-US', 'afk_channel_id': None, 'inventory_settings': None, 'banner': None, 'system_channel_id': '1488198811884195906', 'application_command_counts': {}, 'rules_channel_id': None, 'max_video_channel_users': 25, 'system_channel_flags': 0, 'icon': 'd5f0d779b6e8c7e99255a2105aa1e247', 'premium_progress_bar_enabled': False, 'premium_tier': 0, 'guild_scheduled_events': [], 'game_application_ids': None, 'nsfw': False, 'nsfw_level': 0, 'version': 1775015039042, 'soundboard_sounds': [], 'max_members': 25000000, 'premium_subscription_count': 0, 'max_stage_video_channel_users': 50, 'latest_onboarding_question_id': None}}
[2026-04-01 19:32:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'd2f25b0d448e75c341dd2613b1f1024d', 'members': [{'user': {'username': 'swastik_216', 'public_flags': 0, 'primary_guild': None, 'id': '1186120958147309711', 'global_name': '-Swastik-', 'display_name_styles': None, 'display_name': '-Swastik-', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'palette': 'violet', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/cityscape/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1144308439720394944', 'expires_at': None, 'asset': 'a_3c97a2d37f433a7913a1c7b7a735d000'}, 'avatar': '6ea9135523dd1e719eee6c3c0c0ef2e9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-01T03:01:32.216000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'swastik_work_41544', 'public_flags': 0, 'primary_guild': None, 'id': '1399051133053304909', 'global_name': '-Swastik-', 'display_name_styles': None, 'display_name': '-Swastik-', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '68bd77d2d4732b6accba4045f6ebb284'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-30T15:30:46.036000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4111', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1488198810491555944', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-01 19:32:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:02] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1488198810491555944.
[2026-04-01 19:32:04] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-01 19:32:04] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-01 19:32:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1399051133053304909', 'timestamp': 1775052131, 'member': {'user': {'username': 'swastik_work_41544', 'public_flags': 0, 'primary_guild': None, 'id': '1399051133053304909', 'global_name': '-Swastik-', 'display_name_styles': None, 'display_name': '-Swastik-', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '68bd77d2d4732b6accba4045f6ebb284'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-30T15:30:46.036000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1488198811884195906', 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:14] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-01 19:32:14] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-01 19:32:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-01T14:02:17.398000+00:00', 'pinned': False, 'nonce': '1488901333242085376', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-30T15:30:46.036000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1488901321095647524', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll is poll working', 'components': [], 'channel_type': 0, 'channel_id': '1488198811884195906', 'author': {'username': 'swastik_work_41544', 'public_flags': 0, 'primary_guild': None, 'id': '1399051133053304909', 'global_name': '-Swastik-', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '68bd77d2d4732b6accba4045f6ebb284'}, 'attachments': [], 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:20] [DEBUG   ] discord.client: Dispatching event message
[2026-04-01 19:32:20] [DEBUG   ] discord.client: Dispatching event command
[2026-04-01 19:32:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-01T14:02:18.256000+00:00', 'pinned': False, 'nonce': '17866145963598745564', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1488901324694094046', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1488901324694094047', 'description': 'is poll working', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1488198811884195906', 'author': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'discriminator': '4111', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'attachments': [], 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:21] [DEBUG   ] discord.client: Dispatching event message
[2026-04-01 19:32:21] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488198811884195906/messages with {"embeds":[{"flags":0,"type":"rich","description":"is poll working","title":"New Poll"}],"content":null,"components":[],"nonce":"17866145963598745564","enforce_nonce":true,"tts":false} has returned 200
[2026-04-01 19:32:21] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-04-01 19:32:21] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1488198811884195906/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'is poll working', 'content_scan_version': 0}], 'timestamp': '2026-04-01T14:02:18.256000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1488901324694094046', 'channel_id': '1488198811884195906', 'author': {'id': '1488192451566113019', 'username': 'EVIL-SWASTIK', 'avatar': 'b0d939695f377e3dfe27cdf150a06b57', 'discriminator': '4111', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '30e00b5fa26539b7ad02e92cc14031b8', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '17866145963598745564'}
[2026-04-01 19:32:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1488192451566113019', 'type': 0, 'message_id': '1488901324694094046', 'message_author_id': '1488192451566113019', 'member': {'user': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4111', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😀', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-01 19:32:22] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1488198811884195906/messages/1488901324694094046/reactions/%F0%9F%98%80/@me with None has returned 204
[2026-04-01 19:32:22] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2026-04-01 19:32:22] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-04-01 19:32:22] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1488198811884195906/messages/1488901324694094046/reactions/%F0%9F%98%80/@me has received 
[2026-04-01 19:32:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-01T14:02:18.256000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1488901324694094046', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1488901324694094047', 'description': 'is poll working', 'content_scan_version': 4}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1488198811884195906', 'author': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'discriminator': '4111', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'attachments': [], 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2026-04-01 19:32:22] [DEBUG   ] discord.client: Dispatching event message_edit
[2026-04-01 19:32:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 9, 'op': 0, 'd': {'user_id': '1488192451566113019', 'type': 0, 'message_id': '1488901324694094046', 'message_author_id': '1488192451566113019', 'member': {'user': {'username': 'EVIL-SWASTIK', 'public_flags': 0, 'primary_guild': None, 'id': '1488192451566113019', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4111', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'roles': ['1488509180829761568'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-31T12:04:03.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😡', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:23] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-01 19:32:23] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-01 19:32:23] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1488198811884195906/messages/1488901324694094046/reactions/%F0%9F%98%A1/@me with None has returned 204
[2026-04-01 19:32:23] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-04-01 19:32:23] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1488198811884195906/messages/1488901324694094046/reactions/%F0%9F%98%A1/@me has received 
[2026-04-01 19:32:23] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-01 19:32:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 10, 'op': 0, 'd': {'user_id': '1399051133053304909', 'type': 0, 'message_id': '1488901324694094046', 'message_author_id': '1488192451566113019', 'member': {'user': {'username': 'swastik_work_41544', 'public_flags': 0, 'primary_guild': None, 'id': '1399051133053304909', 'global_name': '-Swastik-', 'display_name_styles': None, 'display_name': '-Swastik-', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '68bd77d2d4732b6accba4045f6ebb284'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-30T15:30:46.036000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😀', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:25] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-01 19:32:25] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-01 19:32:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 11, 'op': 0, 'd': {'user_id': '1399051133053304909', 'type': 0, 'message_id': '1488901324694094046', 'message_author_id': '1488192451566113019', 'member': {'user': {'username': 'swastik_work_41544', 'public_flags': 0, 'primary_guild': None, 'id': '1399051133053304909', 'global_name': '-Swastik-', 'display_name_styles': None, 'display_name': '-Swastik-', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '68bd77d2d4732b6accba4045f6ebb284'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-30T15:30:46.036000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😡', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-01 19:32:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 12, 'op': 0, 'd': {'user_id': '1399051133053304909', 'type': 0, 'message_id': '1488901324694094046', 'emoji': {'name': '😀', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2026-04-01 19:32:26] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2026-04-01 19:32:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 13, 'op': 0, 'd': {'user_id': '1399051133053304909', 'type': 0, 'message_id': '1488901324694094046', 'emoji': {'name': '😡', 'id': None}, 'channel_id': '1488198811884195906', 'burst': False, 'guild_id': '1488198810491555944'}}
[2026-04-01 19:32:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:27] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2026-04-01 19:32:27] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2026-04-01 19:32:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-04-01 19:32:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-01 19:33:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-04-01 19:33:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
